Model,Accuracy,Precision,Recall,F1,FPR,ROC-AUC,Train time (s)
Random Forest,0.997525,0.996420581655481,0.988898756660746,0.9926454201025184,0.0007219347852244014,0.9998992704533407,42.61
LSTM,0.97315,0.9053938356164384,0.9391651865008881,0.9219703574542284,0.01994344844182409,0.995167755624149,133.44
CNN-LSTM (proposed),0.98225,0.971606864274571,0.9218472468916519,0.9460732188971593,0.0054746721212850435,0.9983634938259758,601.77
XGBoost + SMOTE,0.99615,0.9841595775887357,0.9931912374185908,0.9886547811993517,0.0032487065335098063,0.9998032538036752,5.0
